ihpb_sub,ihpb_sub_name,ihpb2013,ihpb2014,base_year,source_2013,source_2014
1,Industri Besar dan Sedang,120.9,141.33,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
2,2.     Industri Pengolahan dan Pengawetan Ikan dan,126.61,155.2,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
3,3.     Industri Pengolahan dan Pengawetan  Buah-,113.74,127.72,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
4,4.     Industri Minyak Makan dan Lemak Nabati dan,99.29000000000001,122.82,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
5,"5.     Industri Pengolahan Susu, Produk dari  Susu",111.99,126.82,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
6,"6.     Industri Penggilingan Padi-Padian, Tepung dan",120.8,132.02,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
7,7.     Industri Makanan Lainnya /  Other Food,115.94,124.35,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
8,8.     Industri Makanan Hewan /  Manufacture of Fodder,121.84,133.68,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
9,9.     Industri Minuman /  Manufacture of Beverages (5),113.42,120.56,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
10,10.    Industri Pengolahan Tembakau /  Manufacture of,128.17,140.84,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
11,"11.    Industri Pemintalan, Penenunan dan",114.4,124.87,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
12,12.    Industri Tekstil Lainnya / Manufacture of Other,109.36,116.2,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
13,"13.    Industri Pakaian Jadi dan Perlengkapannya,",120.32,134.23,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
14,"14.    Industri Kulit dan Barang dari Kulit, termasuk",108.8,116.88,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
15,15.    Industri Alas Kaki / Manufacture of Footwear (3),107.88,119.46,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
16,"16.    Industri Penggergajian dan Pengawetan Kayu,",114.64,120.53,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
17,17.    Industri Barang dari Kayu; Industri Barang dari,113.19,121.64,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
18,18.    Industri Kertas dan Barang dari Kertas /,109.48,121.62,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
19,19.    Industri Pencetakan dan Kegiatan YBDI /,114.66,123.1,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
20,20.    Industri Produk Pengilangan Minyak Bumi /
Manufacture of  Petroleum Refining Products (10),113.48,132.03,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
21,21.    Industri Bahan Kimia / Chemical Manufacture (7),115.3,124.05,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
22,22.    Industri Barang Kimia Lainnya / Manufacture of Other Chemical Products (12),109.15,117.52,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
23,"23.    Industri Farmasi, Produk Obat Kimia dan Obat",112.68,118.9,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
24,24.    Industri Karet dan Barang dari Karet /,113.62,110.97,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
25,25.    Industri Barang dari Plastik / Manufacture of,115.88,130.86,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
26,26.    Industri Kaca dan Barang dari Kaca /,115.64,126.43,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
27,27.    Industri Barang Galian Bukan Logam Lainnya /,109.87,115.72,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
28,28.    Industri Logam Dasar Besi dan Baja /,109.55,113.98,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
29,29.    Industri Logam Dasar Mulia dan Logam Dasar,107.46,122.57,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
30,30.    Industri Barang Logam Siap Pasang untuk,113.11,120.88,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
31,31.    Industri Barang Logam Lainnya  /  Manufacture of,108.38,115.3,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
32,32.    Industri Komputer dan Perlengkapannya /,88.95999999999999,93.36,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
33,33.    Industri Peralatan Audio dan Video Elektronik /,97.44,101.67,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
34,"34.    Industri Alat Ukur, Alat Uji, Peralatan Navigasi",112.39,118.36,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
35,35.    Industri Peralatan Fotografi dan Instrumen Optik,103.81,108.15,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
36,36.    Industri Media Magnetik dan Media Optik /,102.55,107.67,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
37,"37.    Industri Motor Listrik, Generator, Transformator",105.14,114.17,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
38,38.    Industri Batu Baterai dan Akumulator Listrik /,111.07,119.5,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
39,39.    Industri Kabel dan Perlengkapannya /,107.06,117.27,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
40,40.    Industri Peralatan Rumahtangga / Manufacture of,100.29,107.83,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
41,41.    Industri Mesin untuk Keperluan Umum /,100.34,106.87,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
42,42.    Industri Mesin untuk Keperluan Khusus /,106.01,113.44,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
43,43.    Industri Kendaraan Bermotor Roda Empat atau,108.34,112.8,2010,indeks-harga-perdagangan-besar-indonesia-2013-2-29-34.xlsx,indeks-harga-perdagangan-besar-indonesia-2014 - -2010-100-2-27-32.xlsx
