isic4,ihpb_sub,ihpb_sub2,isic4_description,notes
1511,1,,"Production, processing and preserving of meat and meat products",Pengolahan Daging
1512,2,,Processing and preserving of fish and fish products,Pengolahan Ikan
1513,3,,Processing and preserving of fruit and vegetables,Pengolahan Buah & Sayur
1514,4,,Manufacture of vegetable and animal oils and fats,Minyak Makan & Lemak
1521,5,,Manufacture of dairy products [KBLI sub of ISIC 1520],Susu & Produk Susu
1531,6,,Manufacture of grain mill products,Penggilingan Padi-Padian
1532,6,,Manufacture of starches and starch products,Tepung — same as grain mill
1533,8,,Manufacture of prepared animal feeds,Makanan Hewan
1541,7,,Manufacture of bakery products,Makanan Lainnya (bakery/sugar)
1542,7,,Manufacture of sugar,
1543,7,,"Manufacture of cocoa, chocolate and sugar confectionery",
1544,7,,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",
1549,7,,Manufacture of other food products n.e.c.,
1551,9,,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",Minuman
1552,9,,Manufacture of wines,
1553,9,,Manufacture of malt liquors and malt,
1554,9,,Manufacture of soft drinks; production of mineral waters,
1600,10,,Manufacture of tobacco products,Tembakau
1711,11,,Preparation and spinning of textile fibres; weaving of textiles,Pemintalan & Penenunan
1712,11,,Finishing of textiles,
1721,12,,"Manufacture of made-up textile articles, except apparel",Tekstil Lainnya
1722,12,,Manufacture of carpets and rugs,
1723,12,,"Manufacture of cordage, rope, twine and netting",
1729,12,,Manufacture of other textiles n.e.c.,
1730,12,,Manufacture of knitted and crocheted fabrics and articles,Tekstil Lainnya (knitting/finishing) — shares WPI with 1740
1740,12,,"Manufacture of other textiles (finishing, dyeing, laminating) [KBLI sub, no ISIC Rev.3 equivalent]",
1810,13,,"Manufacture of wearing apparel, except fur apparel",Pakaian Jadi — shares WPI with 1820
1820,13,,Dressing and dyeing of fur; manufacture of articles of fur,
1911,14,15,Tanning and dressing of leather,Kulit & Barang Kulit — shares WPI with 1920; avg(IHPB14+IHPB15)
1912,14,15,"Manufacture of luggage, handbags and the like, saddlery and harness",
1920,14,15,Manufacture of footwear,Alas Kaki — shares WPI with 191x; avg(IHPB14+IHPB15)
2010,16,,Sawmilling and planing of wood,Penggergajian Kayu
2021,17,,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards",Barang dari Kayu (veneer/plywood)
2022,17,,Manufacture of builders' carpentry and joinery,Barang dari Kayu — shares WPI group
2023,17,,Manufacture of wooden containers,
2029,17,,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",
2101,18,,"Manufacture of pulp, paper and paperboard",Kertas & Pulp
2102,18,,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,
2109,18,,Manufacture of other articles of paper and paperboard,
2211,19,,"Publishing of books, brochures, musical books and other publications",Pencetakan & Penerbitan — shares WPI group with 222x+223x
2212,19,,"Publishing of newspapers, journals and periodicals",
2213,19,,Publishing of recorded media,
2214,19,,Other publishing activities n.e.c. [KBLI sub of ISIC 2219],
2219,19,,Other publishing,
2221,19,,Printing,
2222,19,,Service activities related to printing,
2230,19,,Reproduction of recorded media,
2310,20,,Manufacture of coke oven products,Produk Pengilangan Minyak — shares WPI with 2320+2330
2320,20,,Manufacture of refined petroleum products,
2330,20,,Processing of nuclear fuel,
2411,21,,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds",Bahan Kimia Dasar
2412,21,,Manufacture of fertilizers and nitrogen compounds,
