"Industry, by year",1 (Rp bn),2 (%),SOE shares of industry subtotals) MNEshares (% of industry subtotals).Labour,SOE shares of industry subtotals) MNEshares (% of industry subtotals).Energy,SOE shares of industry subtotals) MNEshares (% of industry subtotals).Output,SOE shares of industry subtotals) MNEshares (% of industry subtotals).Labour,SOE shares of industry subtotals) MNEshares (% of industry subtotals).Energy,SOE shares of industry subtotals) MNEshares (% of industry subtotals).Output
1996,,,,,,,,
Manufacturing,"7,309",5.37,6.92,11.66,8.88,18.11,21.58,27.15
12 highest energy consumers,"6,786",5.96,8.42,12.24,9.99,16.50,21.12,27.22
Food &beverages,804,5.83,22.31,12.37,10.09,9.82,19.65,17.72
Textiles,"1,521",4.94,3.13,3.62,2.47,13.22,17.45,20.01
Apparel,75,2.24,0.95,0.17,0.80,23.08,24.94,28.05
Wood products,474,4.65,1.16,0.64,0.78,9.20,8.58,11.54
Paper products,631,5.38,6.40,8.51,4.65,18.64,30.79,31.40
Chemicals,631,5.07,12.37,25.48,13.97,18.97,27.02,38.03
Rubber &plastic products,399,5.68,9.97,3.17,3.23,11.86,16.13,20.83
Non-metallic mineral products,"1,274",15.61,6.79,15.54,13.11,11.86,20.31,25.35
Basic metals,542,5.61,14.44,29.07,46.04,20.66,20.54,22.91
Electronics-related machinery,256,3.19,1.85,23.28,3.44,51.29,39.94,55.90
Motor vehicles,80,3.97,0.47,0.78,0.09,29.00,41.31,57.66
Other transportation machinery,99,4.39,38.58,30.02,15.69,19.45,15.84,14.40
2006,,,,,,,,
Manufacturing,"56,841",5.83,5.52,8.77,6.48,24.97,28.54,35.79
12 highest energy consumers,"52,635",6.54,6.31,9.19,7.08,24.83,28.56,36.73
Food &beverages,"7,652",6.49,11.04,7.62,7.19,17.33,21.80,28.67
Textiles,"7,810",6.82,2.10,1.15,1.37,17.25,23.65,32.05
Apparel,"1,938",3.70,3.07,3.35,2.91,30.43,25.36,35.90
Wood products,"1,523",6.05,0.73,0.37,0.31,12.94,16.58,17.79
Paper products,"5,197",5.90,17.09,10.24,13.42,18.31,29.93,30.32
Chemicals,"7,316",6.25,9.00,3.34,14.91,21.51,25.69,33.44
Rubber &plastic products,"3,125",6.57,8.19,7.06,4.29,22.32,22.84,27.87
Non-metallic mineral products,"7,379",14.52,7.95,34.88,26.64,21.96,30.34,29.37
Basic metals,"4,316",5.36,4.70,4.72,3.27,20.48,11.29,15.43
Electronics-related machinery,"1,610",3.76,1.40,0.09,0.33,65.58,66.34,71.95
Motor vehicles,"2,827",5.11,-,-,-,54.74,87.23,
Other transportation machinery,"1,943",,,,,,,81.31
,,6.17,24.08,16.27,12.84,32.97,18.81,61.84
