"Industry, equation, differential",Initial capital,Year-end capital,2006.Initial capital,2006.Year-end capital
12 largest energy consumers (combined),,,,
Equation (1),,,,
SOE-private,0.3017,0.2310,0.8454,0.9661
MNE-private,-0.2025,-0.1559,-0.0402,-0.2190
Equation (2),,,,
SOE-private,0.2933,0.2248,0.8515,0.9739
Minority-foreign MNE-private,-0.7328,-0.7374,-1.1381,-1.4010
Majority-foreign MNE-private,-0.3950,-0.2375,0.8494*,0.7814*
Heavily foreign MNE-private,0.2410,0.1384,-0.2539,-0.4524
Wald equality test,2.00,1.42,2.47*,3.46**
Food &beverages,,,,
Equation (1),,,,
SOE-private,0.2359,0.2538,0.9146,1.5051*
MNE-private,0.0513,0.0050,1.2665,1.3189*
Equation (2),,,,
SOE-private,0.2393,0.2520,0.9220,1.5114*
Minority-foreign MNE-private,-1.9068***,-2.1417***,1.3248,0.9381
Majority-foreign MNE-private,0.3133,0.2574,2.3492***,2.5458***
Heavily foreign MNE-private,0.5225,0.4949,0.6327,0.6780
Wald equality test,6.38***,7.22***,0.97,1.23
Textiles,,,,
Equation (1),,,,
SOE-private,2.7380**,2.2935*,9.9839*,10.0477*
MNE-private,0.3220,0.3325,-0.4717,-0.8486
Equation (2),,,,
SOE-private,2.7336**,2.2921*,9.9905*,10.0573*
Minority-foreign MNE-private,0.5273,0.5265,0.8189,0.5328
Majority-foreign MNE-private,-0.1142,0.1157,0.3407,0.0848
Heavily foreign MNE-private,0.6843,0.5051,-1.0928,-1.5074**
Wald equality test,0.18,0.05,1.68,5.01***
Apparel,,,,
Equation (1),,,,
SOE-private,-0.7441*,-0.8285*,-2.1992***,-2.2944
MNE-private,0.5943*,0.7893**,-0.0768,-0.0239
Equation (2),,,,
SOE-private,-0.7462*,-0.8334*,-2.1987***,-2.2911
Minority-foreign MNE-private,-0.0553,0.0339,-1.1901*,-1.2595
Majority-foreign MNE-private,-0.4448,0.2950,0.2149,0.2807
Heavily foreign MNE-private,1.3593***,1.2726***,-0.0287,0.0029
Wald equality test,4.60**,2.11,1.31,1.35
Wood products,,,,
Equation (1),,,,
SOE-private,0.7242,0.6830,4.4512,4.5320
MNE-private,-0.5021,-0.0605,-0.2232,-0.4600
